"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y";"NA";"NA"
"90227";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2501";14;0;0;0;0;0;0;2;0;0;0;2;6;3;0;0;2;2;6;0;0;0;0;0;0;23;"-19.9593111413428";"-43.9433779264686";"610561.4";"7792673.29";23;"101-90227"
"90229";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2906";26;0;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;"-19.960574645392";"-43.9447856374459";"610413.21";"7792534.38";12;"101-90229"
"90229";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2906";13;0;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;"-19.960574645392";"-43.9447856374459";"610413.21";"7792534.38";12;"101-90229"
"90264";"101";"1";"1";"CAMPO BELO, RUA";"311";17;0;0;0;0;0;0;0;3;0;0;2;0;0;4;3;5;7;16;0;0;0;0;0;0;40;"-19.9489635017198";"-43.9380426331763";"611126.96";"7793814.98";40;"101-90264"
"90265";"101";"1";"1";"CAMPO BELO, RUA";"334";20;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.9490203993439";"-43.938279991686";"611102.08";"7793808.84";3;"101-90265"
"90354";"101";"1";"1";"CRISTINA, RUA";"945";18;0;0;0;0;0;0;11;19;19;2;14;6;2;8;9;15;32;26;0;0;0;0;0;0;163;"-19.9463999371731";"-43.9386932918553";"611060.66";"7794099.13";163;"101-90354"
"90362";"101";"1";"1";"CRUCIS, RUA";"35";27;0;0;0;0;0;5;3;4;4;0;13;0;3;0;3;0;8;0;0;0;0;0;0;0;43;"-19.9593065577438";"-43.9458438990393";"610303.35";"7792675.42";43;"101-90362"
"90568";"101";"1";"1";"NOSSA SENHORA DO CARMO, AVE";"2190";25;0;0;0;0;0;14;15;2;4;2;4;0;7;0;0;4;2;3;0;0;0;0;0;0;57;"-19.95679106157562";"-43.94168442742791";"610740.38";"7792951.08";57;"101-90568"
"90728";"101";"1";"1";"SAO JOAO EVANGELISTA, RUA";"185";19;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;2;0;0;0;0;0;0;0;12;"-19.9477708167418";"-43.9371378825906";"611222.49";"7793946.38";12;"101-90728"
"90936";"101";"1";"1";"PRINCIPAL, RUA";"30";7;0;0;0;0;0;3;7;20;23;7;30;17;33;17;44;49;32;47;32;35;21;0;0;0;417;"-19.951341979494";"-43.9450079325545";"610396.37";"7793556.34";417;"101-90936"
