SIU,LINHA,SUBLINHA,PC, Endereo do Ponto, N Imvel,Seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23, Total geral ,Latitude.WGS84,Longitude.WGS84,X,Y
90003,105,1,1,"AARAO REIS, RUA",510,16,0,0,0,0,0,48,19,60,30,4,0,1,0,1,0,0,0,2,7,0,0,0,0,0,172,-19.9193217005933,-43.934422401844,611526.64,7797093.16
90003,105,1,1,"AARAO REIS, RUA",510,1,0,0,0,0,0,48,19,60,30,4,0,1,0,1,0,0,0,2,7,0,0,0,0,0,172,-19.9193217005933,-43.934422401844,611526.64,7797093.16
90103,105,1,1,"AMAZONAS, AVE",687,14,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,-19.92055637868525,-43.94098474241211,610838.88,7796960.85
90107,105,1,1,"AMAZONAS, AVE",885,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,0,0,0,0,0,0,8,-19.9213312325795,-43.94237490792178,610692.83,7796876.01
90174,105,1,1,"AUGUSTO DE LIMA, AVE",474,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,-19.92364947359565,-43.94097579785661,610837.66,7796618.52
90400,105,1,1,"ESPIRITO SANTO, RUA",1545,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-19.9281754238509,-43.9396707889084,610971.09,7796116.75
90401,105,1,1,"ESPIRITO SANTO, RUA",1897,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,3,7,2,0,0,0,0,26,-19.9312782476972,-43.9405201105129,610880.03,7795773.91
90402,105,1,1,"ESPIRITO SANTO, RUA",2323,8,0,0,0,0,0,5,5,2,0,0,0,2,0,1,4,15,17,28,22,3,0,0,0,0,104,-19.93503655123631,-43.94153750318557,610770.93,7795358.64
90827,105,1,1,"DA BAHIA, RUA",1022,2,0,0,0,0,0,5,8,4,8,1,7,1,0,0,0,0,1,1,1,0,0,0,0,0,37,-19.92394331693142,-43.93725249922022,611227.17,7796583.54
90828,105,1,1,"DA BAHIA, RUA",1320,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-19.92648149019065,-43.93794673606729,611152.73,7796303.09
