"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"90227";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2501";14;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;6;"-19.9593111413428";"-43.9433779264686";"610561.4";"7792673.29"
"90229";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2906";13;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;7;7;0;3;0;0;0;0;21;"-19.960574645392";"-43.9447856374459";"610413.21";"7792534.38"
"90229";"101";"1";"1";"BR TREZENTOS E CINQUENTA E SEIS, ROD";"2906";26;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;7;7;0;3;0;0;0;0;21;"-19.960574645392";"-43.9447856374459";"610413.21";"7792534.38"
"90264";"101";"1";"1";"CAMPO BELO, RUA";"311";17;0;0;0;0;0;0;2;0;4;0;0;0;6;2;0;3;0;0;0;0;0;0;0;0;17;"-19.9489635017198";"-43.9380426331763";"611126.96";"7793814.98"
"90354";"101";"1";"1";"CRISTINA, RUA";"945";18;0;0;0;0;0;0;3;3;0;0;8;4;6;0;0;0;4;3;0;0;0;0;0;0;31;"-19.9463999371731";"-43.9386932918553";"611060.66";"7794099.13"
"90362";"101";"1";"1";"CRUCIS, RUA";"35";27;0;0;0;0;0;2;5;0;4;5;0;0;0;5;0;15;11;0;0;0;0;0;0;0;47;"-19.9593065577438";"-43.9458438990393";"610303.35";"7792675.42"
"90568";"101";"1";"1";"NOSSA SENHORA DO CARMO, AVE";"2190";25;0;0;0;0;0;0;2;4;4;0;0;0;14;0;0;0;11;0;3;0;0;0;0;0;38;"-19.95679106157562";"-43.94168442742791";"610740.38";"7792951.08"
"90728";"101";"1";"1";"SAO JOAO EVANGELISTA, RUA";"185";19;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;"-19.9477708167418";"-43.9371378825906";"611222.49";"7793946.38"
"90936";"101";"1";"1";"PRINCIPAL, RUA";"30";7;0;0;0;0;0;4;30;9;21;5;26;9;27;17;0;30;6;31;21;11;0;0;0;0;247;"-19.951341979494";"-43.9450079325545";"610396.37";"7793556.34"
"90939";"101";"1";"1";"PRINCIPAL, RUA";"518";9;0;0;0;0;0;3;0;4;2;0;8;0;3;2;0;0;5;0;0;0;0;0;0;0;27;"-19.9543638677414";"-43.9440710696968";"610492.31";"7793221.28"
"90940";"101";"1";"1";"PRINCIPAL, RUA";"590";10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;"-19.9548499377852";"-43.943866304563";"610513.4";"7793167.35"
"90942";"101";"1";"1";"PRINCIPAL, RUA";"718";11;0;0;0;0;0;0;0;0;11;0;6;0;6;2;13;3;0;0;0;0;0;0;0;0;41;"-19.9557395684467";"-43.9440619179436";"610492.31";"7793069.02"
"90943";"101";"1";"1";"PRINCIPAL, RUA";"906";12;0;0;0;0;0;0;0;3;2;0;2;0;0;0;0;2;0;0;0;3;0;0;0;0;12;"-19.9567968633424";"-43.9424602893788";"610659.18";"7792950.95"
"91088";"101";"1";"1";"NICARAGUA, RUA";"1460";24;0;0;0;0;0;0;0;0;7;0;3;0;0;2;0;3;0;0;0;0;0;0;0;0;15;"-19.9549411514244";"-43.9404770219161";"610868.02";"7793155.02"
"91089";"101";"1";"1";"BOLIVIA, RUA";"1184";15;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;3;0;6;0;0;0;0;19;"-19.9533931466903";"-43.9400325032258";"610915.62";"7793326.05"
"91089";"101";"1";"1";"BOLIVIA, RUA";"1184";23;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;0;3;0;6;0;0;0;0;19;"-19.9533931466903";"-43.9400325032258";"610915.62";"7793326.05"
"91090";"101";"1";"1";"BOLIVIA, RUA";"570";22;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6;"-19.9514017450053";"-43.9399627615477";"610924.31";"7793546.4"
